domainname,nr_asn
bonprix.ch,7045.0
maillink.ch,7044.0
guests.ch,7002.0
belimo.ch,6993.0
competec.ch,6989.0
beliani.ch,6974.0
galaxus.ch,6969.0
t-systems.ch,6969.0
futurecom.ch,6959.0
frey-net.ch,6937.0
exlibris.ch,6936.0
dravenstales.ch,6934.0
microspot.ch,6927.0
woody.ch,6914.0
gr.ch,6914.0
default.ch,6906.0
schwarzkopf.ch,6900.0
lidl.ch,6894.0
eqipe.ch,6883.0
classicdb.ch,6875.0
lu.ch,6874.0
thomasmaurer.ch,6850.0
pwc.ch,6828.0
canoo.ch,6822.0
galenica.ch,6789.0
ipdinstitute.ch,6784.0
zalando-lounge.ch,6756.0
globonet.ch,6750.0
yop.ch,6744.0
lenta.ch,6743.0
az-cdn.ch,6738.0
starticket.ch,6735.0
anycastdns.ch,6735.0
bestview.ch,6733.0
mediamarkt.ch,6709.0
nau.ch,6705.0
emp-eaw.ch,6704.0
sbbmobile.ch,6694.0
ziknet.ch,6691.0
stnet.ch,6688.0
asstra.ch,6673.0
trainline.ch,6667.0
webkoenig.ch,6642.0
point.ch,6634.0
jungfrau.ch,6624.0
nintendo.ch,6615.0
adquality.ch,6605.0
in4u.ch,6600.0
domrobot.ch,6592.0
css.ch,6591.0
aboutyou.ch,6572.0
conrad.ch,6565.0
ghisler.ch,6558.0
toshiba.ch,6553.0
fuw.ch,6548.0
interdesk.ch,6547.0
lyoness.ch,6544.0
netjump.ch,6533.0
mtfweb.ch,6524.0
simplehosting.ch,6520.0
movie4u.ch,6512.0
wifisolution.ch,6510.0
canstockphoto.ch,6504.0
derbund.ch,6502.0
johngehrig.ch,6479.0
kronoz.ch,6453.0
fima-hosting.ch,6450.0
yetnet.ch,6449.0
triwdata.ch,6448.0
swiss-support.ch,6446.0
mailstation.ch,6424.0
handelszeitung.ch,6420.0
helsana.ch,6414.0
rpn.ch,6410.0
digitale-gesellschaft.ch,6372.0
rpetri.ch,6371.0
siw.ch,6371.0
happyfashion.ch,6370.0
college.ch,6364.0
refline.ch,6358.0
skyscanner.ch,6356.0
morningstar.ch,6347.0
localsearch.ch,6344.0
entex.ch,6337.0
netgrouper.ch,6335.0
tsinger.ch,6331.0
help.ch,6328.0
zurich.ch,6326.0
beobachter.ch,6324.0
e-park.ch,6322.0
network-corner.ch,6316.0
bl.ch,6285.0
meteoswiss-app.ch,6285.0
titolo.ch,6282.0
meteocentrale.ch,6281.0
internetradio-schweiz.ch,6273.0
kdt-hosting.ch,6267.0
inware.ch,6262.0
jse.ch,6260.0
totalcommander.ch,6254.0
unep.ch,6250.0
prospective.ch,6248.0
halma-dns.ch,6230.0
tlaun.ch,6228.0
quicknet.ch,6219.0
tep.ch,6216.0
nhost.ch,6198.0
stmb.ch,6183.0
loterie.ch,6171.0
business-exchange.ch,6171.0
horus.ch,6165.0
gva.ch,6150.0
cloudscale.ch,6147.0
dropnet.ch,6146.0
bettybossi.ch,6142.0
eye.ch,6142.0
pctipp.ch,6134.0
skyguide.ch,6131.0
gas-com.ch,6126.0
hotelscombined.ch,6125.0
allianz-suisse.ch,6123.0
vs.ch,6121.0
zoover.ch,6101.0
csem.ch,6100.0
vshn.ch,6098.0
creanet.ch,6058.0
interdiscount.ch,6053.0
iprolink.ch,6052.0
dplanet.ch,6036.0
songsear.ch,6031.0
xcampaign.ch,6007.0
immomigsa.ch,6004.0
wion.ch,5997.0
quickline.ch,5995.0
icn.ch,5989.0
laredoute.ch,5986.0
puzzle.ch,5984.0
swisspay.ch,5983.0
bernerzeitung.ch,5979.0
suva.ch,5966.0
netboot.ch,5943.0
cdt.ch,5943.0
unisi.ch,5942.0
radioswisspop.ch,5942.0
verbier.ch,5938.0
empa.ch,5923.0
webkeeper.ch,5915.0
bweb.ch,5915.0
onebyte.ch,5900.0
thenet.ch,5900.0
toysrus.ch,5892.0
eroticmonkey.ch,5891.0
shop-apotheke.ch,5888.0
siemens.ch,5886.0
antanet.ch,5885.0
novahosting.ch,5883.0
exenti.ch,5877.0
talus.ch,5869.0
creants.ch,5859.0
orellfuessli.ch,5854.0
aargauerzeitung.ch,5852.0
snb.ch,5831.0
newhome.ch,5828.0
tele2.ch,5827.0
abacus.ch,5814.0
1ahostingpro.ch,5800.0
meteoswiss.ch,5798.0
tagblatt.ch,5797.0
brack.ch,5795.0
omnis.ch,5793.0
sdd1.ch,5788.0
educa.ch,5787.0
teleport.ch,5784.0
exelinfo.ch,5782.0
intergga.ch,5780.0
energy.ch,5774.0
idsia.ch,5772.0
eawag.ch,5771.0
besonet.ch,5768.0
xmodels.ch,5767.0
dreamstore.ch,5765.0
rero.ch,5755.0
sesamnet.ch,5751.0
hin.ch,5747.0
holidaycheck.ch,5746.0
movetec-server.ch,5738.0
gsinfo.ch,5733.0
xwave.ch,5733.0
cyhost.ch,5718.0
webfg.ch,5717.0
green.ch,5701.0
axianet.ch,5689.0
tkcloud.ch,5687.0
iheid.ch,5687.0
telemedia.ch,5684.0
auto-doc.ch,5678.0
123movies4u.ch,5678.0
unizh.ch,5678.0
cdi.ch,5672.0
infofactory.ch,5669.0
jesus.ch,5668.0
animeultima.ch,5666.0
webexpert.ch,5654.0
winterthur.ch,5634.0
ntb.ch,5634.0
ticinohosting.ch,5632.0
holcimpartner.ch,5627.0
femina.ch,5624.0
redacted.ch,5623.0
rcv.ch,5618.0
openweb.ch,5614.0
sitrox.ch,5614.0
ungleich.ch,5600.0
tbwil.ch,5582.0
deindeal.ch,5575.0
cineman.ch,5567.0
jobup.ch,5562.0
fust.ch,5553.0
ify.ch,5547.0
nettrust.ch,5526.0
fih.ch,5524.0
schweizer-domain.ch,5523.0
cloudcluster.ch,5505.0
swisspass.ch,5504.0
vmhosting.ch,5501.0
rtp.ch,5499.0
belsoft.ch,5486.0
messe.ch,5480.0
4server.ch,5478.0
wellhosted.ch,5467.0
rednet.ch,5464.0
hepl.ch,5464.0
mainbase.ch,5461.0
swissnetwork.ch,5451.0
fenaco.ch,5448.0
backbone.ch,5443.0
thurweb.ch,5442.0
breitband.ch,5441.0
adbw.ch,5441.0
alstom.ch,5436.0
dns-cloud.ch,5434.0
photografix.ch,5434.0
unity-web.ch,5418.0
pcp.ch,5414.0
wnd.ch,5409.0
swisscard.ch,5400.0
zg.ch,5396.0
outnow.ch,5395.0
vontobel.ch,5394.0
azag.ch,5391.0
staticlocal.ch,5378.0
webinformatik.ch,5376.0
cscs.ch,5375.0
netsolution.ch,5371.0
ftia.ch,5361.0
permaleads.ch,5347.0
freitag.ch,5320.0
wwf.ch,5315.0
briss.ch,5305.0
armacom.ch,5301.0
gfmer.ch,5299.0
football.ch,5287.0
chregister.ch,5279.0
locoone.ch,5277.0
osemziz.ch,5276.0
adnovum.ch,5266.0
zynex.ch,5262.0
4host.ch,5259.0
sitenable.ch,5259.0
wambo.ch,5258.0
adconsole.ch,5256.0
mnbsserver.ch,5255.0
levidia.ch,5236.0
igte.ch,5236.0
amag.ch,5232.0
snf.ch,5232.0
hostsolutions.ch,5227.0
mangoldpartner.ch,5226.0
medela.ch,5225.0
steffeninf.ch,5225.0
go4web.ch,5221.0
wog.ch,5220.0
galactus.ch,5220.0
aipi.ch,5213.0
itligent.ch,5213.0
phonesear.ch,5212.0
palexpo.ch,5210.0
usb.ch,5209.0
douglas.ch,5207.0
concepto.ch,5198.0
practeo.ch,5188.0
copperfasten.ch,5188.0
myemotions.ch,5187.0
shure.ch,5187.0
fm1today.ch,5186.0
wng.ch,5185.0
motorradhandel-schweiz.ch,5184.0
auto-online.ch,5181.0
internezzohosting.ch,5179.0
bern.ch,5178.0
bboxbbs.ch,5165.0
securepop.ch,5159.0
itexa.ch,5153.0
epost.ch,5148.0
inwx.ch,5145.0
safesear.ch,5138.0
leparking.ch,5136.0
mobi.ch,5133.0
tdh.ch,5132.0
globus.ch,5128.0
ggs.ch,5121.0
mammut.ch,5107.0
paus.ch,5103.0
pilatus-aircraft.ch,5096.0
teleboy.ch,5093.0
swissdigicert.ch,5093.0
matter-ammann.ch,5090.0
umb.ch,5082.0
supsi.ch,5082.0
friday-magazine.ch,5070.0
rhb.ch,5068.0
sihf.ch,5062.0
baloise.ch,5061.0
sourcepole.ch,5059.0
mit.ch,5058.0
matterhornparadise.ch,5058.0
news.ch,5053.0
schweizmobil.ch,5052.0
hcweb.ch,5048.0
vtxnet.ch,5047.0
soft-plus.ch,5043.0
itpoint.ch,5038.0
bedag.ch,5031.0
adwired.ch,5028.0
syselcloud.ch,5023.0
mailxpert.ch,5020.0
itship.ch,5016.0
qoqa.ch,5014.0
tremegisto.ch,4992.0
isi.ch,4989.0
surfeu.ch,4980.0
tyle.ch,4975.0
adidas.ch,4974.0
hotelplan.ch,4958.0
spin.ch,4954.0
sky.ch,4953.0
pearl.ch,4946.0
adtracker.ch,4945.0
stmoritz.ch,4943.0
weaver.ch,4935.0
generali.ch,4934.0
goeuro.ch,4931.0
onlinemoviewatch.ch,4930.0
tiscalinet.ch,4927.0
zooplus.ch,4923.0
insystem.ch,4920.0
innov8.ch,4920.0
bull-services.ch,4915.0
dns1.ch,4907.0
rega.ch,4906.0
glastroesch.ch,4903.0
